time[s],data(t-1)[degree],data(t),data(t+1),Average
1940,116.4836,115.9952,115.9952,116.158
1950,116.972,116.4836,115.9952,116.4836
1960,116.972,116.972,116.4836,116.8092
1970,117.4604,116.972,116.972,117.1348
1980,116.972,117.4604,116.972,117.1348
1990,117.4604,116.972,117.4604,117.2976
2000,117.4604,117.4604,116.972,117.2976
2010,117.9488,117.4604,117.4604,117.6232
2020,117.9488,117.9488,117.4604,117.786
2030,118.4372,117.9488,117.9488,118.1116
2040,118.4372,118.4372,117.9488,118.2744
2050,118.4372,118.4372,118.4372,118.4372
2060,118.9256,118.4372,118.4372,118.6
2070,118.9256,118.9256,118.4372,118.7628
2080,118.9256,118.9256,118.9256,118.9256
2090,119.414,118.9256,118.9256,119.0884
2100,119.9024,119.414,118.9256,119.414
2110,119.414,119.9024,119.414,119.5768
2120,120.3908,119.414,119.9024,119.9024
2130,120.3908,120.3908,119.414,120.0652
2140,120.8792,120.3908,120.3908,120.5536
2150,120.8792,120.8792,120.3908,120.7164
2160,121.3676,120.8792,120.8792,121.042
2170,121.3676,121.3676,120.8792,121.2048
2180,120.8792,121.3676,121.3676,121.2048
2190,121.3676,120.8792,121.3676,121.2048
2200,121.3676,121.3676,120.8792,121.2048
2210,121.856,121.3676,121.3676,121.5304
2220,121.856,121.856,121.3676,121.6932
2230,122.3444,121.856,121.856,122.0188
2240,122.8328,122.3444,121.856,122.3444
2250,122.8328,122.8328,122.3444,122.67
2260,123.3212,122.8328,122.8328,122.9956
2270,122.8328,123.3212,122.8328,122.9956
2280,123.3212,122.8328,123.3212,123.1584
2290,122.8328,123.3212,122.8328,122.9956
2300,123.3212,122.8328,123.3212,123.1584
2310,123.8096,123.3212,122.8328,123.3212
2320,123.8096,123.8096,123.3212,123.6468
2330,124.298,123.8096,123.8096,123.9724
2340,124.7864,124.298,123.8096,124.298
2350,124.7864,124.7864,124.298,124.6236
2360,124.298,124.7864,124.7864,124.6236
2370,124.298,124.298,124.7864,124.4608
2380,124.7864,124.298,124.298,124.4608
2390,124.7864,124.7864,124.298,124.6236
2400,124.7864,124.7864,124.7864,124.7864
2410,124.7864,124.7864,124.7864,124.7864
2420,125.2748,124.7864,124.7864,124.9492
2430,125.7632,125.2748,124.7864,125.2748
2440,125.7632,125.7632,125.2748,125.6004
2450,126.2516,125.7632,125.7632,125.926
2460,126.2516,126.2516,125.7632,126.0888
2470,126.2516,126.2516,126.2516,126.2516
2480,126.2516,126.2516,126.2516,126.2516
2490,126.74,126.2516,126.2516,126.4144
2500,126.74,126.74,126.2516,126.5772
2510,127.2284,126.74,126.74,126.9028
2520,127.2284,127.2284,126.74,127.0656
2530,127.2284,127.2284,127.2284,127.2284
2540,127.2284,127.2284,127.2284,127.2284
2550,127.2284,127.2284,127.2284,127.2284
2560,127.2284,127.2284,127.2284,127.2284
2570,127.7168,127.2284,127.2284,127.3912
2580,128.2052,127.7168,127.2284,127.7168
2590,128.2052,128.2052,127.7168,128.0424
2600,128.2052,128.2052,128.2052,128.2052
2610,128.2052,128.2052,128.2052,128.2052
2620,128.6936,128.2052,128.2052,128.368
2630,128.6936,128.6936,128.2052,128.5308
2640,128.6936,128.6936,128.6936,128.6936
2650,128.2052,128.6936,128.6936,128.5308
2660,129.182,128.2052,128.6936,128.6936
2670,128.6936,129.182,128.2052,128.6936
2680,129.182,128.6936,129.182,129.0192
2690,129.6704,129.182,128.6936,129.182
2700,129.6704,129.6704,129.182,129.5076
2710,129.6704,129.6704,129.6704,129.6704
2720,129.6704,129.6704,129.6704,129.6704
2730,130.1588,129.6704,129.6704,129.8332
2740,129.6704,130.1588,129.6704,129.8332
2750,130.1588,129.6704,130.1588,129.996
2760,130.1588,130.1588,129.6704,129.996
2770,130.1588,130.1588,130.1588,130.1588
2780,130.6472,130.1588,130.1588,130.3216
2790,131.1356,130.6472,130.1588,130.6472
2800,131.1356,131.1356,130.6472,130.9728
2810,131.1356,131.1356,131.1356,131.1356
2820,131.1356,131.1356,131.1356,131.1356
2830,131.1356,131.1356,131.1356,131.1356
2840,131.624,131.1356,131.1356,131.2984
2850,131.1356,131.624,131.1356,131.2984
2860,131.624,131.1356,131.624,131.4612
2870,131.624,131.624,131.1356,131.4612
