1.26,0.396700,0.028666,0.397627,	0.010982,	0.000000
1.27,0.397375,0.029969,0.397600,	0.010941,	0.067504
1.28,0.397375,0.026117,0.397676,	0.011101,	0.000000
1.29,0.396250,0.023361,0.397742,	0.011135,	-0.112507
1.30,0.397825,0.029427,0.397632,	0.010816,	0.157510
1.31,0.397150,0.022718,0.397769,	0.011066,	-0.067504
1.32,0.396700,0.022718,0.397788,	0.010939,	-0.045003
1.33,0.396700,0.026041,0.397736,	0.010709,	0.000000
1.34,0.396250,0.028524,0.397689,	0.010589,	-0.045003
1.35,0.396925,0.033500,0.397582,	0.010445,	0.067504
1.36,0.396025,0.032222,0.397589,	0.010620,	-0.090006
1.37,0.397375,0.037525,0.397463,	0.010542,	0.135009
1.38,0.397825,0.031624,0.397555,	0.010950,	0.045003
1.39,0.396925,0.024035,0.397705,	0.011268,	-0.090006
1.40,0.397600,0.024958,0.397702,	0.011127,	0.067504
1.41,0.397150,0.020967,0.397798,	0.011176,	-0.045003
1.42,0.396700,0.021422,0.397814,	0.010991,	-0.045003
1.43,0.396925,0.025116,0.397759,	0.010718,	0.022501
1.44,0.397150,0.026306,0.397742,	0.010621,	0.022501
1.45,0.396475,0.025623,0.397760,	0.010616,	-0.067504
1.46,0.397600,0.029940,0.397676,	0.010432,	0.112507
1.47,0.396475,0.025089,0.397769,	0.010652,	-0.112507
1.48,0.396475,0.029542,0.397684,	0.010449,	0.000000
1.49,0.396700,0.032750,0.397609,	0.010393,	0.022501
1.50,0.396925,0.033369,0.397578,	0.010493,	0.022501
1.51,0.396925,0.032079,0.397586,	0.010664,	0.000000
1.52,0.395800,0.031023,0.397595,	0.010790,	-0.112507
1.53,0.397150,0.038120,0.397436,	0.010617,	0.135009
1.54,0.396700,0.033525,0.397500,	0.010991,	-0.045003
1.55,0.397375,0.033206,0.397491,	0.011105,	0.067504
1.56,0.397150,0.028095,0.397585,	0.011366,	-0.022501
1.57,0.396700,0.025971,0.397634,	0.011406,	-0.045003
1.58,0.397375,0.027684,0.397610,	0.011272,	0.067504
1.59,0.396475,0.024214,0.397688,	0.011353,	-0.090006
1.60,0.397150,0.028160,0.397621,	0.011111,	0.067504
1.61,0.396700,0.026304,0.397663,	0.011157,	-0.045003
1.62,0.396700,0.028191,0.397631,	0.011038,	0.000000
1.63,0.397600,0.029587,0.397604,	0.010981,	0.090006
1.64,0.396700,0.024228,0.397713,	0.011180,	-0.090006
1.65,0.396700,0.026776,0.397675,	0.010994,	0.000000
1.66,0.397150,0.028691,0.397640,	0.010893,	0.045003
1.67,0.396925,0.026907,0.397676,	0.010960,	-0.022501
1.68,0.397825,0.027228,0.397674,	0.010916,	0.090006
1.69,0.397150,0.021135,0.397806,	0.011094,	-0.067504
1.70,0.397600,0.021628,0.397820,	0.010915,	0.045003
1.71,0.397150,0.018981,0.397896,	0.010861,	-0.045003
1.72,0.396925,0.020452,0.397894,	0.010618,	-0.022501
1.73,0.396250,0.023302,0.397857,	0.010374,	-0.067504
1.74,0.396025,0.030254,0.397722,	0.010066,	-0.022501
1.75,0.396700,0.036841,0.397571,	0.009934,	0.067504
1.76,0.396925,0.036626,0.397541,	0.010172,	0.022501
1.77,0.397150,0.034622,0.397551,	0.010453,	0.022501
1.78,0.397150,0.031374,0.397596,	0.010717,	0.000000
1.79,0.396250,0.028901,0.397637,	0.010873,	-0.090006
1.80,0.396250,0.033429,0.397540,	0.010736,	0.000000
1.81,0.397375,0.036612,0.397456,	0.010746,	0.112507
1.82,0.396250,0.030780,0.397552,	0.011122,	-0.112507
1.83,0.396925,0.034401,0.397470,	0.011041,	0.067504
1.84,0.396475,0.032145,0.397499,	0.011236,	-0.045003
1.85,0.396700,0.033595,0.397460,	0.011249,	0.022501
1.86,0.397150,0.032959,0.397460,	0.011362,	0.045003
1.87,0.397600,0.029227,0.397527,	0.011557,	0.045003
1.88,0.396700,0.023331,0.397654,	0.011735,	-0.090006
1.89,0.397150,0.025544,0.397630,	0.011511,	0.045003
1.90,0.396250,0.024100,0.397674,	0.011467,	-0.090006
1.91,0.396925,0.029542,0.397577,	0.011167,	0.067504
1.92,0.396025,0.028754,0.397592,	0.011204,	-0.090006
1.93,0.397600,0.034543,0.397472,	0.011004,	0.157510
1.94,0.396475,0.027514,0.397601,	0.011362,	-0.112507
1.95,0.397375,0.030355,0.397547,	0.011225,	0.090006
1.96,0.398275,0.026052,0.397634,	0.011392,	0.090006
1.97,0.396475,0.016628,0.397843,	0.011630,	-0.180012
1.98,0.397150,0.022773,0.397757,	0.011140,	0.067504
1.99,0.396025,0.022669,0.397778,	0.011014,	-0.112507
2.00,0.397150,0.030692,0.397628,	0.010623,	0.112507
2.01,0.396250,0.028553,0.397663,	0.010758,	-0.090006
2.02,0.397150,0.033326,0.397561,	0.010612,	0.090006
2.03,0.397150,0.030325,0.397607,	0.010832,	0.000000
2.04,0.397150,0.028069,0.397647,	0.010953,	0.000000
2.05,0.396250,0.026424,0.397683,	0.010999,	-0.090006
2.06,0.396700,0.031629,0.397580,	0.010781,	0.045003
2.07,0.397150,0.032179,0.397558,	0.010838,	0.045003
2.08,0.397150,0.029301,0.397606,	0.011018,	0.000000
2.09,0.396925,0.027174,0.397648,	0.011102,	-0.022501
2.10,0.395800,0.027245,0.397652,	0.011064,	-0.112507
2.11,0.397150,0.035282,0.397488,	0.010766,	0.135009
2.12,0.397375,0.031459,0.397545,	0.011046,	0.022501
2.13,0.397375,0.026994,0.397631,	0.011251,	0.000000
2.14,0.396700,0.023776,0.397705,	0.011311,	-0.067504
2.15,0.397150,0.026325,0.397669,	0.011108,	0.045003
2.16,0.396700,0.025081,0.397703,	0.011096,	-0.045003
2.17,0.396700,0.027442,0.397666,	0.010938,	0.000000
2.18,0.396700,0.029200,0.397632,	0.010859,	0.000000
2.19,0.396475,0.030465,0.397602,	0.010838,	-0.022501
2.20,0.396700,0.032925,0.397543,	0.010804,	0.022501
2.21,0.397150,0.033018,0.397526,	0.010903,	0.045003
2.22,0.396475,0.029789,0.397580,	0.011108,	-0.067504
2.23,0.397150,0.032165,0.397527,	0.011048,	0.067504
2.24,0.396025,0.029053,0.397581,	0.011224,	-0.112507
2.25,0.397150,0.034720,0.397463,	0.011033,	0.112507
2.26,0.396250,0.030778,0.397527,	0.011291,	-0.090006
2.27,0.396925,0.034207,0.397450,	0.011207,	0.067504
2.28,0.385000,0.031827,0.397484,	0.011393,	-1.192576
2.29,0.396250,0.114265,0.395746,	0.008707,	1.125072
2.30,0.396925,0.092960,0.395908,	0.011338,	0.067504
2.31,0.396700,0.070954,0.396172,	0.013401,	-0.022501
2.32,0.396700,0.055484,0.396385,	0.014672,	0.000000
2.33,0.397150,0.043695,0.396578,	0.015427,	0.045003
2.34,0.397150,0.031776,0.396817,	0.015898,	0.000000
2.35,0.396700,0.023272,0.397026,	0.015979,	-0.045003
2.36,0.397150,0.020674,0.397137,	0.015681,	0.045003
2.37,0.395800,0.016097,0.397296,	0.015411,	-0.135009
2.38,0.397600,0.022882,0.397228,	0.014682,	0.180012
2.39,0.396925,0.015531,0.397430,	0.014605,	-0.067504
2.40,0.397825,0.015474,0.397501,	0.014136,	0.090006
