348.000	22.800	4.432
349.000	21.600	4.437
350.000	22.800	4.442
351.000	22.800	4.432
352.000	22.800	4.437
353.000	22.800	4.437
354.000	21.600	4.437
355.000	22.800	4.432
356.000	22.800	4.437
357.000	22.800	4.437
